downstream_compute_duration_us,path0,path1,mixed,reverse,fastest,source
0,16428860,19141853,13632932,12836665,reverse,cycles_0/comparison.md
250,16678859,19391852,13632932,12836665,reverse,cycles_250/comparison.md
500,16928859,19641852,13632932,12836665,reverse,cycles_500/comparison.md
750,17178859,19891852,13632932,12836665,reverse,cycles_750/comparison.md
1000,17428859,20141852,13632932,12836665,reverse,cycles_1000/comparison.md
1250,17678859,20391852,13632932,12836665,reverse,cycles_1250/comparison.md
1500,17928859,20641852,13632932,12836665,reverse,cycles_1500/comparison.md
1750,18178859,20891852,13632932,12923440,reverse,cycles_1750/comparison.md
2000,18428859,21141852,13632932,13173440,reverse,cycles_2000/comparison.md
2250,18678859,21391852,13632932,13423440,reverse,cycles_2250/comparison.md
2500,18928859,21641852,13632932,13673440,mixed,cycles_2500/comparison.md
2750,19178859,21891852,13632932,13923440,mixed,cycles_2750/comparison.md
3000,19428859,22141852,13632932,14173440,mixed,cycles_3000/comparison.md
3250,19678859,22391852,13632932,14423440,mixed,cycles_3250/comparison.md
3500,19928859,22641852,13632932,14673440,mixed,cycles_3500/comparison.md
3750,20178859,22891852,13632932,14923440,mixed,cycles_3750/comparison.md
4000,20428859,23141852,13632932,15173440,mixed,cycles_4000/comparison.md
4250,20678859,23391852,13632932,15423440,mixed,cycles_4250/comparison.md
4500,20928859,23641852,13632932,15673440,mixed,cycles_4500/comparison.md
4750,21178859,23891852,13632932,15923440,mixed,cycles_4750/comparison.md
5000,21428859,24141852,13783328,16173440,mixed,cycles_5000/comparison.md
